,Current Employment Status
Tenure (Years),-0.4961516485178297
Tenure Band_4-6 Years,-0.311484991082018
Satisfaction Score,-0.24917366164465943
Working Hours Band_1901-2100,-0.20216511826757635
Incentive Amount ($) Band_5K-10K,-0.1178294965051426
Bonus ($) Band_5K-10K,-0.10746230233204708
Incentive Amount ($) Band_10K-15K,-0.06712200618441201
Department_IT,-0.04064502791985823
Job Title_Operations Coordinator,-0.040618582634576426
Job Title_Data Scientist,-0.0345962473290684
Job Title_Software Engineer,-0.03140762356765575
Country_Germany,-0.029882298046221483
Overtime Band_151-200,-0.028144664209839982
Department_Operations,-0.026822569032231586
Ethnicity_BD-Tribal,-0.026629671390196525
Ethnicity_German,-0.026253876674324203
Team Size,-0.024369110857404362
Overtime Band_51-100,-0.023016616936421926
Gender_Other,-0.022349356282266593
Job Title_Sales Manager,-0.02234935628226656
Region_Europe,-0.02178618904119168
Job Title_Content Strategist,-0.021388185945040657
Department_Marketing,-0.021283495223703548
Age Band_46-55,-0.020127665755639238
Age (Years),-0.019478912674440286
Organization Level_Entry,-0.016743299060183178
Job Title_Research Scientist,-0.01613154275068677
Salary Band_50K-75K,-0.01440324156034917
Ethnicity_Germany-Other,-0.014308736487280971
Bonus ($) Band_10K-20K,-0.01387007049865748
Age Band_26-35,-0.012671823408980544
Ethnicity_Black British,-0.012575509910564017
Education Level_High School,-0.01245491516971362
Age Band_56-66,-0.011460343581994189
Employment Status_Onsite,-0.011205379356115458
Ethnicity_UK-Other,-0.011060289869117296
Education Level_Associate's,-0.010373817963862022
Job Title_Marketing Coordinator,-0.009237721062359096
Organization Level_Mid-Level,-0.008173659593191617
Salary Band_30K-50K,-0.006704731895904799
Employment Type_Part-time,-0.006090142416729839
Education Level_Bachelor's,-0.006022477179666455
Ethnicity_Indo-Aryan,-0.004174036825504714
Incentive Amount ($) Band_500-5K,-0.003950427684525582
Ethnicity_White,-0.0017155486766996342
Times Promoted,-0.00019069362112317722
Ethnicity_Turkish,0.0002131442357722615
Ethnicity_Asian,0.00021314423577226677
Gender_Female,0.0004824270075358669
Job Title_IT Support Specialist,0.0008735592171028086
Country_UK,0.0032710277800809687
Country_India,0.004138572703801966
Ethnicity_Asian British,0.004591139499259393
Ethnicity_Black,0.0049688998779153885
Overtime Band_101-150,0.005321204319799373
Ethnicity_Hispanic,0.00565686278477151
Employment Type_Full-time,0.006090142416729849
Education Level_Doctorate,0.0074346442783829935
Gender_Male,0.008342565608128688
Salary Band_75K-100K,0.008729069813022166
Ethnicity_Dravidian,0.008732632123993073
Country_Bangladesh,0.01011259821048603
Ethnicity_White British,0.010270037758022167
Salary Band_100K-125K,0.010997518176143334
Organization Level_Operational,0.011177057082854115
Job Title_Logistics Manager,0.01117749972900989
Employment Status_Remote,0.011205379356115448
Job Title_Financial Analyst,0.011443744002624014
Region_Asia,0.011608505730241477
Region_North America,0.012386447388658245
Country_USA,0.012386447388658245
Ethnicity_India-Tribal,0.012572767166413592
Salary Band_125K-150K,0.013560061394562221
Department_R&D,0.016917650049610544
Department_Sales,0.017190515372991235
Job Title_Sales Representative,0.017358179918266433
Ethnicity_Bengali,0.019454512064515893
Job Title_Accountant,0.02038561472886682
Age Band_18-25,0.021783041231817513
Education Level_Master's,0.021849745106743663
Department_Finance,0.022374956517226773
Age Band_36-45,0.02470516874854745
Job Title_HR Specialist,0.03479579758596848
Job Title_HR Manager,0.03516969462610631
Organization Level_Senior,0.03516969462610631
Job Title_Account Executive,0.037655414626552364
Overtime Band_0-50,0.037655414626552405
Overtime Band_Above 200,0.038464551199573316
Ethnicity_USA-Other,0.04396503165963087
Job Title_R&D Engineer,0.04544989513321128
Working Hours Band_1701-1900,0.047243207956004875
Department_HR,0.04966148885530811
Bonus ($) Band_Above 30K,0.06025414377165605
Working Hours Band_1445-1500,0.06025414377165606
Bonus ($) Band_500-5K,0.06933308204983589
Performance Rating,0.07095574882302283
Project Target,0.10969907259302199
Tenure Band_1-3 Years,0.11607333450915495
Projects Handled,0.11873402725404139
Working Hours Band_Above 2100,0.14511602434615556
Working Hours Band_1501-1700,0.2016426600524449
Bonus ($) Band_20K-30K,0.25598622716249775
Incentive Amount ($) Band_Above 20K,0.2776669401140891
Incentive Amount ($) Band_15K-20K,0.3569217694280981
Tenure Band_<1 Year,0.5102447119467574
Current Employment Status,1.0
